reading_id,device_id,timestamp,pm25_raw,pm10_raw,co_raw,temperature,humidity,no2_mv,no2_raw
1438,device_05,2025-11-06 18:56:48.126783,4,4,146,25.2,88.3,513.9,452
1439,device_02,2025-11-06 19:00:26.236057,6,7,1048,26.3,85.3,764.2,760
1440,device_01,2025-11-06 19:01:37.355216,5,5,43,26.5,84.8,666,676
1441,device_05,2025-11-06 19:01:54.54933,4,4,146,25.1,88.2,529.5,476
1442,device_01,2025-11-06 19:06:46.855864,5,5,42,26.5,84.7,675.9,689
1443,device_05,2025-11-06 19:07:01.330359,4,4,146,25.1,88,519.5,463
1444,device_02,2025-11-06 19:11:04.529088,5,5,1049,26.4,85.2,757.1,752
1445,device_01,2025-11-06 19:11:54.763916,6,6,43,26.5,84,659.2,669
1446,device_05,2025-11-06 19:12:08.06123,5,5,149,25.1,88,531.3,481
1447,device_01,2025-11-06 19:17:03.051451,5,5,42,26.6,83.2,656.9,664
1448,device_05,2025-11-06 19:17:16.308872,2,2,151,25.1,88,544.9,498
1449,device_01,2025-11-06 19:22:11.404071,4,4,43,26.5,83,670.5,682
1450,device_05,2025-11-06 19:22:23.395006,2,3,148,25.1,87.8,544,492
1451,device_02,2025-11-06 19:27:10.924416,3,3,1031,26.6,85,741.2,729
1452,device_01,2025-11-06 19:27:22.400429,3,4,44,26.6,83,677.5,693
1453,device_05,2025-11-06 19:27:30.066514,3,3,142,25,87.7,538.5,486
1454,device_01,2025-11-06 19:32:33.635819,4,4,43,26.4,83.3,666.8,676
1455,device_05,2025-11-06 19:32:37.379413,0,0,143,25.1,87.8,532.5,480
1456,device_02,2025-11-06 19:37:43.25795,0,2,1041,26.4,84.7,772.5,768
1457,device_05,2025-11-06 19:37:44.221947,0,1,146,25.1,87.7,539.9,491
1458,device_01,2025-11-06 19:37:44.553411,4,5,41,27.2,83,680.1,695
1459,device_05,2025-11-06 19:42:51.599979,0,0,145,25.1,87.8,546.4,497
1460,device_01,2025-11-06 19:42:52.880503,3,3,43,26.9,83.5,677.5,692
1461,device_05,2025-11-06 19:47:59.159389,0,0,148,25.1,88,552.5,502
1462,device_01,2025-11-06 19:48:00.51876,6,6,41,27.2,83,668,679
1463,device_05,2025-11-06 19:53:06.596251,0,0,155,25.2,88,557.7,513
1464,device_01,2025-11-06 19:53:08.524982,14,15,40,26.6,83.8,677.9,691
1465,device_05,2025-11-06 19:58:14.132789,1,1,153,25.2,88,545.9,495
1466,device_05,2025-11-06 20:03:21.32391,2,2,144,25.1,88.2,517.4,461
1467,device_01,2025-11-06 20:03:29.772788,5,5,43,26.6,85,671.2,684
1468,device_05,2025-11-06 20:08:28.317391,0,0,152,25,88.5,543,491
1469,device_01,2025-11-06 20:08:38.83166,3,3,43,26.4,85.8,668.2,680
1470,device_05,2025-11-06 20:13:36.190668,1,1,150,25.1,88.8,550.3,499
1471,device_01,2025-11-06 20:13:47.347704,3,3,43,26.3,86,668.1,678
1472,device_05,2025-11-06 20:18:43.975449,1,1,147,25.1,88.8,552,501
1473,device_01,2025-11-06 20:18:55.046007,3,3,43,26.4,86,668.4,679
1474,device_05,2025-11-06 20:23:51.860398,0,0,147,25.1,88.8,544,493
1475,device_01,2025-11-06 20:24:03.765701,3,3,45,26.4,86,656.8,663
1476,device_05,2025-11-06 20:28:59.606589,1,1,146,25.1,88.8,542.6,494
1477,device_01,2025-11-06 20:29:12.598755,2,2,44,26.3,86,646.2,650
1478,device_05,2025-11-06 20:34:07.337611,1,1,144,25.1,89.2,527,472
1479,device_01,2025-11-06 20:34:21.25111,3,3,41,26.7,86.5,632.3,632
1480,device_05,2025-11-06 20:39:15.156014,1,1,145,25,89.5,524.4,472
1481,device_01,2025-11-06 20:39:29.766809,4,4,40,26.3,87,646.9,651
1482,device_05,2025-11-06 20:44:22.605494,0,0,142,25.1,89.5,524.9,468
1483,device_01,2025-11-06 20:44:38.407921,3,4,44,26.4,86.5,634.4,635
1484,device_05,2025-11-06 20:49:29.876539,0,0,144,25.1,89.6,530.9,477
1485,device_01,2025-11-06 20:49:49.549658,4,4,44,26.4,86.2,644.6,648
1486,device_05,2025-11-06 20:54:37.203084,0,0,143,25.1,89.7,522.8,471
1487,device_01,2025-11-06 20:54:59.98343,1,2,45,26.2,86,641.2,646
1488,device_05,2025-11-06 20:59:45.798101,0,0,141,25.1,89.8,510.5,451
1489,device_01,2025-11-06 21:00:08.072736,3,3,44,26.4,86,647,652
1490,device_05,2025-11-06 21:04:53.389641,0,0,143,25.1,89.8,521.9,467
1491,device_01,2025-11-06 21:05:17.088722,2,2,43,26.4,86,648.6,654
1492,device_05,2025-11-06 21:10:01.180414,0,0,142,25.1,89.8,516.8,459
1493,device_01,2025-11-06 21:10:25.153895,2,2,44,26.4,86,657.1,664
1494,device_05,2025-11-06 21:15:08.228697,2,2,144,25.1,89.8,514.8,461
1495,device_01,2025-11-06 21:15:33.207212,3,3,43,26.2,86,649.6,654
1496,device_05,2025-11-06 21:20:15.580763,1,1,147,25,89.8,515.4,461
1497,device_01,2025-11-06 21:20:41.193438,4,4,44,26.4,86,631,631
1498,device_05,2025-11-06 21:25:23.682999,1,1,146,25.1,89.8,518.9,462
1499,device_01,2025-11-06 21:25:56.915931,6,6,43,26.5,86.7,654.9,661
1500,device_05,2025-11-06 21:30:31.366744,0,0,146,25.1,90.1,513.5,456
1501,device_01,2025-11-06 21:31:05.585937,2,3,44,26.2,86.3,660.9,672
1502,device_05,2025-11-06 21:35:39.965022,1,1,147,25,90.2,514.9,456
1503,device_01,2025-11-06 21:36:13.598551,5,5,43,26.2,86,654.9,662
1504,device_05,2025-11-06 21:40:50.142719,2,2,161,25,90.5,526.8,475
1505,device_01,2025-11-06 21:41:24.508221,3,3,44,26.6,86.8,642.7,646
1506,device_05,2025-11-06 21:45:57.707551,2,2,168,25,90.4,541.8,492
1507,device_01,2025-11-06 21:46:32.723889,4,4,44,26.5,87,637.5,641
1508,device_05,2025-11-06 21:51:04.651459,7,7,174,25,90.3,541,492
1509,device_01,2025-11-06 21:51:40.52669,4,4,43,26.4,87.7,635.4,636
1510,device_05,2025-11-06 21:56:11.823582,8,9,180,25,90.3,551.7,507
1511,device_01,2025-11-06 21:56:48.664589,5,5,45,26.4,88,626.3,625
1512,device_05,2025-11-06 22:01:18.949223,9,9,183,25,90.5,552.8,511
1513,device_01,2025-11-06 22:01:59.713477,6,6,43,26.5,88.2,635.4,636
1514,device_05,2025-11-06 22:06:26.626912,12,12,173,25.1,90.8,547.3,499
1515,device_05,2025-11-06 22:11:34.298412,7,7,180,25.1,90.8,545.1,491
1516,device_05,2025-11-06 22:16:41.463248,8,8,180,25.1,91.2,532.3,482
1517,device_05,2025-11-06 22:21:48.877817,8,8,177,25.1,91.4,530.6,480
1518,device_05,2025-11-06 22:26:56.750932,7,7,185,25.2,91.7,550,502
1519,device_05,2025-11-06 22:32:05.40612,8,8,183,25.3,91.6,539.5,493
1520,device_05,2025-11-06 22:37:13.739429,2,4,174,25.3,91.4,552.4,507
1521,device_05,2025-11-06 22:42:22.242762,4,5,170,25.3,91.2,554.9,508
1522,device_05,2025-11-06 22:47:31.782359,5,5,170,25.4,91.2,540.8,491
1523,device_03,2025-11-12 13:44:36.509179,0,0,0,23.4,40.7,142,0
1524,device_03,2025-11-12 13:45:36.031473,0,0,0,25.5,44.6,142,0
1525,device_03,2025-11-12 13:46:36.756763,0,0,0,25.4,44.2,142,0
1526,device_03,2025-11-12 13:47:36.184034,0,0,0,25.6,44.1,142,0
1527,device_03,2025-11-12 13:48:36.304409,0,0,0,25.4,44,142,0
1528,device_03,2025-11-12 13:49:36.165597,0,0,0,25.5,44,142,0
1529,device_03,2025-11-12 13:50:35.937645,0,0,393,25.4,44,833.6,907
1530,device_03,2025-11-12 13:51:36.960441,0,0,2038,25.5,43.9,1390,1548
1531,device_03,2025-11-12 13:52:35.953684,0,0,883,25.6,43.7,1260.8,1392
1532,device_01,2025-11-12 13:56:50.885197,30,35,161,24.5,38.3,871,946
1533,device_02,2025-11-12 14:00:52.099205,6,6,1067,23.4,40.8,916.6,951
1534,device_02,2025-11-12 14:01:51.880797,0,0,1069,25.4,44,875.7,894
1535,device_04,2025-11-12 14:08:26.917997,21,22,175,24.5,46,1075.1,1141
1536,device_05,2025-11-12 14:12:15.495027,29,31,759,24,50,806.3,794
